9031_GENEID,9606_GENEID
416517,7156
423163,7189
395955,7247
395329,7433
416039,7508
378893,2189
425065,7818
416016,7879
416826,8099
418552,c(8209, 102724023)
418569,8239
418148,5927
395152,8313
415944,8314
424047,8436
771057,8437
419407,8510
418567,1654
771857,8697
418682,8924
417293,9022
100858193,9064
426774,9070
395480,9104
c(100857937, 417472),9110
424314,9111
429060,9112
415674,9114
417270,9128
426667,9129
395930,9135
415888,9136
418015,9145
428926,9147
421392,9167
426086,9170
423949,9184
414892,9187
768898,9188
416182,2107
425029,9197
422403,9227
421903,9228
423728,9231
427496,9236
100858730,9244
428478,9247
421928,9270
424823,9276
421176,9283
421092,9331
419358,9334
419368,9341
416766,9342
428769,9348
426854,9352
373967,9353
419758,9354
418769,9358
424162,9360
768942,9361
769358,9363
404536,9370
424639,9372
423129,9404
423201,9409
419556,9410
427245,9413
395751,9414
100858001,9416
420164,9420
395812,9421
420877,9425
424937,9427
426927,9439
396065,185
422930,9451
415458,9455
422247,9459
418594,9468
421784,9474
100858627,9488
395272,1213
424968,8087
417006,9514
395517,9519
424656,9528
423482,9529
421452,9533
417193,9536
426529,9541
415535,9543
420069,9546
395451,9547
416495,9551
424377,9554
395858,9555
423021,114548
419738,112936
373991,9575
421417,9577
429062,9588
769912,9600
416953,9609
423742,9632
424866,755
396418,832
100190948,1020
417606,1497
431670,1612
395249,1653
419982,1659
416008,1776
417890,1833
395748,2115
419455,2475
395960,2516
423776,2662
417968,2984
395999,3150
423814,3416
395903,3761
395973,3764
378424,4287
395387,4318
421154,4608
417753,4698
419039,4704
423763,4714
420337,4715
424102,4719
417986,4809
416677,4899
395179,4919
423071,4925
101747586,4958
424915,5130
424913,5133
420752,5137
426928,5169
770633,5229
419444,5293
771142,5296
423756,5309
416575,5347
619530,5393
101750363,5551
427850,5649
423349,5826
416057,5859
395986,5913
419826,5929
395803,6421
396129,6492
418515,6493
419825,6900
424213,7701
395816,7941
418211,8082
418664,8227
101749229,100137049
419155,9139
422209,9203
423802,9211
420179,9242
421472,9637
420430,9941
420432,9942
418505,9946
422840,9957
420049,9961
395394,9965
417247,9966
395439,9970
373902,9971
396125,9975
373926,2244
770547,2694
771690,9094
395793,9095
421063,9097
415451,9101
417181,25
429337,187
395928,207
395791,430
426873,466
419108,509
395474,535
493647,100532731
693249,823
395503,862
374038,867
421791,892
423562,1033
396185,1051
423402,1112
429151,1146
420479,1326
396499,1411
418268,1475
424106,1493
425542,1650
373969,1749
395725,1773
396142,1869
431264,1903
417919,2004
396455,2017
378782,2041
416420,2072
396235,2113
396250,2114
396267,2248
777583,2268
396512,2353
421416,2355
427291,2580
423003,2644
373964,2660
c(404533, 100858088),2661
429088,2672
395994,2674
396502,2702
395846,2703
428225,2709
424538,2787
101751100,2794
422569,2823
428079,2835
427956,2838
428381,2843
422149,2846
c(100857983, 424833),2859
417748,2861
423929,2869
426597,2886
420948,2887
101750576,2928
423081,2965
427896,3010
416537,3029
395594,3037
424482,3052
425499,3071
428787,3093
395424,3094
419370,3104
396487,3309
396460,3932
418056,4151
