GENEID_33169,GENEID_9606
4618877,3841
4621742,2882
4618619,10106
4619683,84696
c(4622408, 4620896),6210
4619653,6165
4620493,1073
4620941,4673
4619524,c(548644, 246721)
4619697,5441
4621140,6160
4622177,54205
4623344,6202
4621342,348938
4620858,6472
4621073,440093
4620158,9213
4623052,2875
4621467,23710
c(4621072, 4620037),8360
4621220,5478
4621483,7155
4623151,8345
4621904,3305
4620533,100529261
4621058,8339
4618541,375346
