GENEID_10181,GENEID_9606
101723339,7629
101719159,9351
101717895,4913
101696851,54887
101703043,2773
101718849,3843
101704268,4942
101703046,10885
101704633,5586
101711764,57418
101717867,9697
101722127,9423
101725589,9340
101725983,55388
101696575,1606
101721671,2065
101706147,54763
101707847,91526
101701522,10954
101705885,55633
101696660,4710
101710447,23013
101704236,4638
101712393,55854
101705822,6416
101713249,55248
101712804,9892
101709480,9748
101712442,51167
101710063,1308
101724032,55176
101724103,5588
101723443,7089
101725655,51665
101714012,83641
101717382,4199
101713688,23216
101725477,8621
101705997,10797
101712390,84679
101709380,55810
101724789,4904
101717168,5141
101712512,5525
101714477,1496
101713794,1994
101704223,7075
101697433,57609
101704168,6602
101715237,9682
101712987,4802
101723251,84217
101700748,6550
101711158,25791
101714580,259266
101714932,8832
101705922,64834
101707724,6688
101716362,30834
101708784,744
101705422,51208
101722003,27107
101699261,9950
101709077,2263
101721431,55631
101709879,51015
101707759,2009
101719219,60487
101697765,55623
101698290,26153
101716535,55102
101698432,10565
101712192,348158
101717705,57623
101720034,9650
101721552,10734
101713398,2235
101723038,4649
101709405,5214
101712767,3422
101725529,6672
101720234,1316
101724889,8611
101715485,4756
101699293,23471
101699364,5255
101698980,7132
101714578,782
101713895,7813
101709054,9399
101721034,5315
101724190,54505
101725866,30836
101712000,79091
101721077,7158
101703157,7216
101707095,51018
101710109,387
101704043,1659
101699303,5590
101698255,7544
101710191,55699
101701697,6857
101703345,89795
101721638,3421
101702997,79641
101722812,57595
101713508,492
101710589,6093
101723908,865
101699582,5165
101709759,8692
101696612,9759
101707605,11186
101711651,2261
101705834,3430
101720187,63897
101718395,80347
101705046,4205
101712863,55593
101715111,7030
101702425,4943
101717258,2182
101704617,3632
101720193,27238
101714061,56850
101700299,24140
101717997,55771
101724993,65055
101710735,23250
101698445,25885
101723178,9741
101703669,57217
101724338,51447
106007566,286749
101700481,55133
101722153,3796
101714183,10235
101718665,23198
101702438,57560
101715152,22933
101717524,27248
101706140,5526
101713354,5837
101707993,5307
101701658,57113
101705611,375449
101714612,221395
101720028,54549
101703241,8756
101721025,55746
101704165,64710
101697141,55737
101699482,10294
101713136,602
101710049,8514
101698079,10060
101716628,51083
101722581,139341
101705175,139341
101724899,4129
101721524,6095
101708437,1815
101720371,7049
101696546,8399
101697891,483
101712885,4734
101715263,9488
101700449,5597
