10047_GENEID,9606_GENEID
110560457,57595
110560453,492
110564211,6093
110545523,865
110564184,5165
110564648,8692
110554303,9759
110564633,11186
110557305,2261
110550888,3430
110551126,63897
110550914,80347
110550910,79990
110556955,4205
110561979,55593
110561989,7030
110541341,4943
110565186,2182
110549016,3632
110561918,27238
110561982,56850
110550499,24140
110540064,55771
110563699,65055
110559731,23250
110564150,25885
110564156,25885
110563632,9741
110563631,9741
110561836,57217
110565464,51447
110552897,286749
110557995,55133
110563943,3796
110549343,10235
110542670,23198
110540574,23198
110557306,57560
110552523,22933
110542809,27248
110549337,5526
110549368,5837
110548753,5307
110556863,57113
110555749,375449
110552110,221395
110547439,54549
110562217,8756
110556377,55746
110548260,64710
110552989,55737
110552991,10294
110551515,602
110552718,8514
110560536,10060
110546450,51083
110559703,29121
110541536,4129
110557983,6095
110553893,1815
110549083,7049
110556844,8399
110552714,54626
110555290,483
110549134,4734
110549127,9488
110545477,5597
110545481,10681
110549121,5873
110546074,27440
110553338,7353
110551009,4040
110552758,2984
110553933,6343
110553906,57661
110541410,8518
110555724,4925
110554227,5217
110541322,5774
110547770,6710
110562145,27071
110562146,27071
110550451,2255
110561933,23446
110557749,54916
110551464,23293
110562349,10640
110551350,27006
110551349,10272
110558437,9993
110551346,55658
110551472,4335
110549845,79364
110540955,23210
110540957,23210
110556619,5423
110566009,55808
110560038,55062
110558837,22844
110561880,57704
110546682,3340
110554785,440
110556620,10947
110551187,1258
110566010,10610
110561617,1103
110546528,10420
110551179,29105
110551175,1459
110566160,11099
110546542,8891
110546698,6949
110545010,998
110545170,26031
110545393,2046
110560951,6559
110560959,6559
110548314,56852
110552126,490
110547245,29850
110559035,8440
110561819,9448
110545443,11320
110566567,6160
110558934,9948
110558933,9948
110558646,23161
110548069,54860
110560167,79658
110564837,6196
110564838,6196
110560831,54556
110558251,22846
110548315,29995
110566635,114049
110561187,6400
110545357,9319
110562533,537
110551338,6929
110541614,28951
110551329,26528
110551375,53615
110561135,51052
110549047,6596
110562539,9130
110562536,60343
110562273,29894
110549836,140469
110549827,79901
110564139,28513
110561126,5134
110539577,55117
110557055,51109
110545844,22859
110545558,6694
110546596,87
110563451,23503
110563450,23503
110549790,22905
110565276,26469
110565277,26469
110552231,55679
110552240,55679
110566391,55515
110539384,10290
110566843,84708
110539487,224
110547651,7037
110547647,7037
110550002,6720
110548768,27125
110540631,7321
110540632,7321
110557048,64398
110555375,9886
110540818,8243
110540816,3028
110551584,2011
110540037,3161
110540035,3161
110561718,8974
110554429,2213
110554428,2213
110545902,4775
110555895,51095
110555097,37
110547816,6793
110547815,23291
110555118,9744
110544879,1400
110544913,2121
110564053,51009
110565143,54847
110561240,54820
110540932,10335
110540847,79041
110558736,8907
110563713,5817
110539766,7515
110554560,949
110566736,54905
110566738,54905
110554299,4171
110549687,54456
110549685,56666
110549689,83642
110558825,8626
110555495,80216
110547876,3993
110540079,5151
110540078,5151
110541955,1183
110553809,54475
110545371,6389
110539363,6605
110553798,54752
110546054,5927
110545650,4185
110565800,5523
110552218,10979
110547795,8647
110547782,10170
110559541,922
110553489,5743
110561594,10644
110561590,9175
110548122,6480
110551430,30009
110552593,8301
110545640,4905
110546429,2736
110546414,23332
110548689,65993
110559877,4854
110547312,1207
110544846,5522
110546856,8463
110546860,8463
110552592,8726
110541037,54825
110549778,6620
110559664,7251
110559272,55421
110559262,489
110549293,771
110554297,11343
110554933,59277
110566690,617
110563444,9891
110556041,54878
110556045,54878
110557292,9187
110546617,55205
110546692,8578
110555474,3998
110556034,51495
110556033,51495
110555607,26034
110561820,23140
110555735,50508
110555381,2023
110545292,6557
110546244,56005
110540804,57719
110563177,51175
110563176,51175
110541382,55160
110540984,7294
110564471,9671
110554512,3785
110553705,3785
110563781,6865
110553668,64431
110559007,54962
110545185,6717
110545001,8672
110555932,10371
110545026,51512
110564450,10512
110545049,55020
110549483,38
110562371,23151
110556815,7479
110551245,27332
110539809,55972
110540861,29090
110547158,119
110546548,2249
110551815,9462
110545237,9605
110560177,4140
110540061,5250
110557485,64778
110557484,64778
110559903,2355
110555334,27091
110550654,27092
110558813,285527
110545448,23505
110558185,6624
110558188,60
110555784,55034
110553679,5337
110559568,479
110550810,284403
110553298,1739
110549573,7879
110565505,55973
110556037,25956
110553849,9733
110553847,9733
110560304,55843
110548597,113457
110556056,5076
110563934,23016
110549930,22920
110550815,23609
110555416,4175
110546483,25996
110546474,10179
110548992,5939
110548991,11176
110554973,25930
110559312,4292
110547265,7374
110547263,7374
110562605,2329
110565009,27252
110565001,27252
110548681,8786
110550158,113235
110566286,5362
110550136,10615
110547279,88455
110547278,88455
110547283,32
110547269,32
110544618,9618
110553632,55824
110551406,55094
110556648,22978
110562583,4162
110540439,2239
110545006,5909
110566357,9138
110548541,27231
110552947,8527
110562564,83992
110556772,51412
110555070,5915
110555069,7155
110546307,56889
110556458,4791
110548430,29089
110561165,54431
110564642,2975
110564641,3566
110556060,23032
110566451,827
110556738,6626
110553811,9576
110545770,9576
110561186,56915
110549832,1781
110559256,54518
